Prioridade,ID,Descrição,Critério de Aceitação,Status,Sprint,Fonte,Responsável,Estimativa
P0,RF-001,Conectar API Meta Ads e extrair métricas de campanhas,Fluxo retorna métricas válidas (spend reach CTR CPC CPE frequency),✅ Implementado,Sprint 1,n8n-workflows/meta-ads-notion.json,Equipe n8n,5h
P1,RF-002,Atualizar automaticamente páginas e dashboards do Notion,Dashboard atualizado em tempo real sem erro,✅ Implementado,Sprint 1,scripts/meta-to-notion.py,Equipe n8n,8h
P2,RF-003,Enviar alertas de performance via n8n,Alertas disparados sem erro (meta atingida queda erro),📅 Planejado,Sprint 3,n8n alerting node,Equipe n8n,3h
P1,RF-004,Coletar e processar screenshots do Instagram Insights,Screenshots capturadas e dados extraídos com precisão,✅ Implementado,Sprint 1,docs/screenshots-guide.md,Sabrina,2h
P2,RF-005,Gerar relatórios semanais de crescimento e comparação,Relatórios automáticos com comparação baseline,✅ Implementado,Sprint 2,Notion Pages,Analistas,4h
P0,RF-006,Rastrear métricas diárias (CTR CPC CPE Frequência),Métricas coletadas e persistidas diariamente,✅ Implementado,Sprint 1,Notion Database,Equipe n8n,3h
P1,RF-007,Calcular automaticamente custo por seguidor e ROI,Cálculos corretos validados contra dados manuais,✅ Implementado,Sprint 1,scripts/meta-to-notion.py:98,Equipe n8n,2h
P1,RF-008,Armazenar linha de base (baseline) para comparações,Baseline capturada e imutável com data de referência,✅ Implementado,Sprint 2,Notion - Linha de Base,Sabrina,1h
P2,RF-009,Manter calendário de conteúdo integrado com ads,Calendário sincronizado com campanhas ativas,✅ Implementado,Sprint 2,Notion - Calendário,Sabrina,4h
P2,RF-010,Banco de ideias criativas e templates,Banco com 15+ ideias e 10+ templates prontos,✅ Implementado,Sprint 2,Notion - Banco de Ideias,Sabrina,3h
P0,RNF-001,Segurança de tokens via Docker Secrets ou .env,Tokens nunca expostos em código versionado,✅ Implementado,Sprint 1,scripts/env.example.txt,Equipe n8n,1h
P1,RNF-002,Logs detalhados para auditoria e troubleshooting,15+ eventos logados por execução com timestamp,✅ Implementado,Sprint 1,scripts/meta-to-notion.py:190-234,Equipe n8n,2h
